Logistic Regression,Random Forest,Gradient Boosting (GBM),SVM,KNN,Setting,Dataset
0.45429864253393665,0.4900452488687783,0.45927601809954754,0.49260935143288087,0.5390648567119156,W/o Low,cardano.csv
0.47304294852269263,0.4643618641486445,0.4434968017057569,0.5105086810843741,0.5167529698446542,W/o Low,chainlink.csv
0.513859910581222,0.5120715350223547,0.45007451564828616,0.5108792846497765,0.5058122205663189,W/o Low,cosmos.csv
0.6186899038461539,0.5539362980769231,0.5043569711538461,0.3946814903846154,0.5914963942307693,W/o Low,decentraland.csv
0.5155354449472096,0.5883861236802413,0.48959276018099546,0.43981900452488687,0.6244343891402715,W/o Low,dogecoin.csv
0.5656108597285068,0.5748114630467572,0.5686274509803921,0.4030165912518854,0.5514328808446456,W/o Low,eos.csv
0.4484848484848485,0.5951515151515152,0.5736363636363636,0.5187878787878789,0.5231818181818182,W/o Low,ethereum.csv
0.4812121212121212,0.5125757575757575,0.526060606060606,0.4766666666666667,0.4821212121212122,W/o Low,fantom.csv
0.5321352421565642,0.5048735912275357,0.4511117879987816,0.4766981419433445,0.49268961315869636,W/o Low,filecoin.csv
0.4951515151515151,0.5396969696969697,0.4957575757575757,0.4815151515151515,0.5142424242424243,W/o Low,flow.csv
0.5459976105137396,0.6018518518518519,0.5833333333333334,0.465352449223417,0.5267323775388291,W/o Low,hedera.csv
0.4724242424242424,0.556969696969697,0.5206060606060606,0.4254545454545454,0.49257575757575756,W/o Low,immutable.csv
0.5327444410600061,0.5254340542187024,0.5086810843740481,0.46268656716417916,0.5010660980810234,W/o Low,injective.csv
0.4846497764530551,0.4475409836065574,0.47004470938897175,0.48345752608047693,0.4847988077496274,W/o Low,internet_computer.csv
0.5991041433370661,0.5179171332586786,0.5005599104143338,0.45296752519596867,0.49356103023516235,W/o Low,kaspa.csv
0.4817801672640382,0.5534647550776584,0.4790919952210274,0.51194743130227,0.4502688172043011,W/o Low,lido.csv
0.5379125780553078,0.4608980077311924,0.527802557240559,0.45584299732381806,0.5316681534344336,W/o Low,litecoin.csv
0.5717280622941,0.44579215333932315,0.573225516621743,0.4381551362683438,0.5633423180592991,W/o Low,maker.csv
0.526672833795868,0.5029293863706444,0.47086031452358934,0.5238976256552574,0.4777983348751156,W/o Low,near.csv
0.46354166666666663,0.4656723484848485,0.5042613636363636,0.4251893939393939,0.5130208333333334,W/o Low,optimism.csv
0.9545454545454545,0.8409090909090909,0.3787878787878788,0.4393939393939394,0.7196969696969697,W/o Low,pepe.csv
0.4974543276430069,0.5395327942497754,0.5268044324648098,0.45762204252770294,0.4646600778676251,W/o Low,polkadot.csv
0.5315504807692308,0.5788762019230769,0.5417668269230769,0.5338040865384616,0.5384615384615384,W/o Low,polygon.csv
0.38853695324283566,0.42488687782805434,0.42956259426847665,0.48416289592760187,0.45580693815987927,W/o Low,render.csv
0.5633423180592992,0.5221623240491164,0.5277029050613956,0.5597484276729559,0.5720275531596286,W/o Low,sandbox.csv
0.7141509433962264,0.5976415094339622,0.5113207547169811,0.5207547169811321,0.5367924528301887,W/o Low,shiba_inu.csv
0.5247909199522103,0.5247909199522103,0.5412186379928315,0.474910394265233,0.5531660692951015,W/o Low,solana.csv
0.5035714285714286,0.43675595238095244,0.5074404761904763,0.5375,0.4714285714285714,W/o Low,stacks.csv
0.5530776092774308,0.5312221231043711,0.5049063336306869,0.5075825156110616,0.5359797799583705,W/o Low,stellar.csv
0.7156862745098038,0.5555555555555555,0.6274509803921569,0.36601307189542487,0.607843137254902,W/o Low,sui.csv
0.5773809523809524,0.6385416666666667,0.5860119047619048,0.6605654761904762,0.46116071428571426,W/o Low,tether.csv
0.5003030303030302,0.635,0.5624242424242424,0.44500000000000006,0.5345454545454545,W/o Low,tezos.csv
0.4979091995221028,0.49716248506571087,0.4758064516129032,0.47491039426523296,0.46624850657108724,W/o Low,theta.csv
0.7583333333333333,0.8208333333333333,0.6916666666666667,0.19999999999999998,0.6708333333333334,W/o Low,the_graph.csv
0.5132322331251858,0.5191793041926851,0.6101694915254238,0.5105560511448112,0.484834968777877,W/o Low,toncoin.csv
0.5989583333333334,0.5098039215686274,0.5407475490196079,0.4568014705882353,0.5615808823529411,W/o Low,tron.csv
